year,scope,region,mode,moran_I
2060,regional,XNF,basin,0.391
2060,regional,XOC,basin,
2060,regional,XSA,basin,0.022
2060,regional,XSE,basin,0.439
2060,global,ALL,basin,0.265
2070,regional,BRA,basin,0.203
2070,regional,CAN,basin,0.224
2070,regional,CHN,basin,0.519
2070,regional,CIS,basin,0.198
2070,regional,IND,basin,0.193
2070,regional,JPN,basin,
2070,regional,TUR,basin,0.43
2070,regional,USA,basin,0.435
2070,regional,XAF,basin,0.278
2070,regional,XE25,basin,0.138
2070,regional,XER,basin,0.085
2070,regional,XLM,basin,-0.0
2070,regional,XME,basin,0.469
2070,regional,XNF,basin,-0.053
2070,regional,XOC,basin,
2070,regional,XSA,basin,0.222
2070,regional,XSE,basin,0.005
2070,global,ALL,basin,0.221
2080,regional,BRA,basin,0.367
2080,regional,CAN,basin,0.182
2080,regional,CHN,basin,0.485
2080,regional,CIS,basin,0.269
2080,regional,IND,basin,0.111
2080,regional,JPN,basin,
2080,regional,TUR,basin,0.188
2080,regional,USA,basin,0.329
2080,regional,XAF,basin,0.324
2080,regional,XE25,basin,0.225
2080,regional,XER,basin,0.102
2080,regional,XLM,basin,-0.0
2080,regional,XME,basin,0.569
2080,regional,XNF,basin,-0.0
2080,regional,XOC,basin,
2080,regional,XSA,basin,0.12
2080,regional,XSE,basin,0.119
2080,global,ALL,basin,0.245
2090,regional,BRA,basin,0.472
2090,regional,CAN,basin,0.097
2090,regional,CHN,basin,0.376
2090,regional,CIS,basin,0.294
2090,regional,IND,basin,0.153
2090,regional,JPN,basin,
2090,regional,TUR,basin,0.348
2090,regional,USA,basin,0.135
2090,regional,XAF,basin,0.602
2090,regional,XE25,basin,0.258
2090,regional,XER,basin,0.261
2090,regional,XLM,basin,0.2
2090,regional,XME,basin,0.294
2090,regional,XNF,basin,-0.001
2090,regional,XOC,basin,
2090,regional,XSA,basin,0.222
2090,regional,XSE,basin,0.311
2090,global,ALL,basin,0.331
2100,regional,BRA,basin,0.411
2100,regional,CAN,basin,0.082
2100,regional,CHN,basin,0.326
2100,regional,CIS,basin,0.276
2100,regional,IND,basin,0.302
2100,regional,JPN,basin,
2100,regional,TUR,basin,0.383
2100,regional,USA,basin,0.049
2100,regional,XAF,basin,0.525
2100,regional,XE25,basin,0.255
2100,regional,XER,basin,0.355
2100,regional,XLM,basin,0.2
2100,regional,XME,basin,0.395
2100,regional,XNF,basin,0.045
2100,regional,XOC,basin,
2100,regional,XSA,basin,0.24
2100,regional,XSE,basin,0.331
2100,global,ALL,basin,0.319
