basin,country,year,Value
MNCW,MEX,2090,1605.4240476063796
MNCW,MEX,2100,1465.2615731746796
RGBV,MEX,2005,1060.6158578303284
RGBV,MEX,2010,1095.8959685515797
RGBV,MEX,2015,1177.853542759021
RGBV,MEX,2020,1125.3670685565294
RGBV,MEX,2025,1096.1069315197233
RGBV,MEX,2030,1020.3273913768999
RGBV,MEX,2035,962.068504312087
RGBV,MEX,2040,942.5989871854667
RGBV,MEX,2045,965.7277523210894
RGBV,MEX,2050,966.7971211287208
RGBV,MEX,2060,921.3756301521016
RGBV,MEX,2070,829.7071209190378
RGBV,MEX,2080,714.2801445045214
RGBV,MEX,2090,645.1995123601496
RGBV,MEX,2100,625.8185230493012
RIBA,MEX,2005,5397.940334544324
RIBA,MEX,2010,5587.849070291883
RIBA,MEX,2015,5706.585203035796
RIBA,MEX,2020,5720.5318326077095
RIBA,MEX,2025,5931.445804918444
RIBA,MEX,2030,6030.087316713802
RIBA,MEX,2035,6144.988798864339
RIBA,MEX,2040,6305.079334095234
RIBA,MEX,2045,6514.877903690196
RIBA,MEX,2050,6596.383290714804
RIBA,MEX,2060,7264.243080374471
RIBA,MEX,2070,8185.191141586726
RIBA,MEX,2080,9425.30631867065
RIBA,MEX,2090,10736.024295615745
RIBA,MEX,2100,11792.42354765838
RIVE,MEX,2005,3796.746289247536
RIVE,MEX,2010,3934.2185014495844
RIVE,MEX,2015,4043.273528248981
RIVE,MEX,2020,4016.247152271895
RIVE,MEX,2025,4069.462372576029
RIVE,MEX,2030,4079.4334323502685
RIVE,MEX,2035,4152.399465212742
RIVE,MEX,2040,4281.828943256977
RIVE,MEX,2045,4473.248693903962
RIVE,MEX,2050,4591.930191192224
RIVE,MEX,2060,5046.842963917619
RIVE,MEX,2070,6091.221586602857
RIVE,MEX,2080,7423.48001763323
RIVE,MEX,2090,8873.541929738585
RIVE,MEX,2100,9807.619220276647
RLER,MEX,2005,1598.3996650914146
RLER,MEX,2010,1654.01550030996
RLER,MEX,2015,1710.86777672204
RLER,MEX,2020,1693.9438481559234
RLER,MEX,2025,1714.8083323968467
RLER,MEX,2030,1710.8527158857828
RLER,MEX,2035,1733.2209847632294
RLER,MEX,2040,1791.8797560610712
RLER,MEX,2045,1886.061968285236
RLER,MEX,2050,1924.7021468850257
RLER,MEX,2060,2032.0265243378676
RLER,MEX,2070,2202.093324287256
RLER,MEX,2080,2419.2517258962375
RLER,MEX,2090,2556.308865414343
RLER,MEX,2100,2563.264663720973
YUPA,MEX,2005,2064.0438782795663
YUPA,MEX,2010,2148.1214530647885
YUPA,MEX,2015,2201.266730414013
YUPA,MEX,2020,2216.211776853267
YUPA,MEX,2025,2327.0709827568867
YUPA,MEX,2030,2406.2520778277935
YUPA,MEX,2035,2493.7454329971943
YUPA,MEX,2040,2584.9928551091543
YUPA,MEX,2045,2665.94864110629
YUPA,MEX,2050,2664.604287969322
YUPA,MEX,2060,2848.8319324353333
YUPA,MEX,2070,3209.6279240689173
YUPA,MEX,2080,3833.859907423068
YUPA,MEX,2090,4488.362524974124
YUPA,MEX,2100,4961.940021569479
AGBS,MKD,2005,357.4663638396155
AGBS,MKD,2010,314.1676211773523
AGBS,MKD,2015,318.1954097466913
AGBS,MKD,2020,310.9731874042757
AGBS,MKD,2025,318.04404204493756
AGBS,MKD,2030,333.88690594887754
AGBS,MKD,2035,356.0443411785217
AGBS,MKD,2040,387.075603615739
AGBS,MKD,2045,427.8361468230172
AGBS,MKD,2050,467.7154954801455
