scenario,region,type,*,year,value
SSP2_BaU_NoCC,XME,Emi_CO2_AFO,Mt CO2/yr,2100,-16.839200215143386
SSP2_BaU_NoCC,XNF,Emi_CO2_AFO,Mt CO2/yr,2005,-13.160731601376376
SSP2_BaU_NoCC,XNF,Emi_CO2_AFO,Mt CO2/yr,2010,-2.6785204570746526
SSP2_BaU_NoCC,XNF,Emi_CO2_AFO,Mt CO2/yr,2015,-5.596958324058752
SSP2_BaU_NoCC,XNF,Emi_CO2_AFO,Mt CO2/yr,2020,-6.12501730978477
SSP2_BaU_NoCC,XNF,Emi_CO2_AFO,Mt CO2/yr,2025,-11.219174311322734
SSP2_BaU_NoCC,XNF,Emi_CO2_AFO,Mt CO2/yr,2030,-4.2164398986679785
SSP2_BaU_NoCC,XNF,Emi_CO2_AFO,Mt CO2/yr,2040,-14.85046997451794
SSP2_BaU_NoCC,XNF,Emi_CO2_AFO,Mt CO2/yr,2050,-3.9565440711464177
SSP2_BaU_NoCC,XNF,Emi_CO2_AFO,Mt CO2/yr,2060,-4.447494847909265
SSP2_BaU_NoCC,XNF,Emi_CO2_AFO,Mt CO2/yr,2070,-5.499369464402275
SSP2_BaU_NoCC,XNF,Emi_CO2_AFO,Mt CO2/yr,2080,-5.9920123916447565
SSP2_BaU_NoCC,XNF,Emi_CO2_AFO,Mt CO2/yr,2090,-9.951786371786387
SSP2_BaU_NoCC,XNF,Emi_CO2_AFO,Mt CO2/yr,2100,-10.699483405978071
SSP2_BaU_NoCC,XAF,Emi_CO2_AFO,Mt CO2/yr,2005,-397.94108266309433
SSP2_BaU_NoCC,XAF,Emi_CO2_AFO,Mt CO2/yr,2010,196.21420528211473
SSP2_BaU_NoCC,XAF,Emi_CO2_AFO,Mt CO2/yr,2015,174.00764157228593
SSP2_BaU_NoCC,XAF,Emi_CO2_AFO,Mt CO2/yr,2020,720.0508374959011
SSP2_BaU_NoCC,XAF,Emi_CO2_AFO,Mt CO2/yr,2025,938.6627527342928
SSP2_BaU_NoCC,XAF,Emi_CO2_AFO,Mt CO2/yr,2030,2285.600079822582
SSP2_BaU_NoCC,XAF,Emi_CO2_AFO,Mt CO2/yr,2040,2000.3162538664847
SSP2_BaU_NoCC,XAF,Emi_CO2_AFO,Mt CO2/yr,2050,986.6028469578482
SSP2_BaU_NoCC,XAF,Emi_CO2_AFO,Mt CO2/yr,2060,723.43176509649
SSP2_BaU_NoCC,XAF,Emi_CO2_AFO,Mt CO2/yr,2070,637.9982206509504
SSP2_BaU_NoCC,XAF,Emi_CO2_AFO,Mt CO2/yr,2080,378.5441604289771
SSP2_BaU_NoCC,XAF,Emi_CO2_AFO,Mt CO2/yr,2090,82.31432070255855
SSP2_BaU_NoCC,XAF,Emi_CO2_AFO,Mt CO2/yr,2100,-60.22830540536569
SSP2_BaU_NoCC,BRA,Emi_CO2_AFO,Mt CO2/yr,2005,-517.774596653927
SSP2_BaU_NoCC,BRA,Emi_CO2_AFO,Mt CO2/yr,2010,-350.74230051802977
SSP2_BaU_NoCC,BRA,Emi_CO2_AFO,Mt CO2/yr,2015,-315.39005880779644
SSP2_BaU_NoCC,BRA,Emi_CO2_AFO,Mt CO2/yr,2020,324.6000962190135
SSP2_BaU_NoCC,BRA,Emi_CO2_AFO,Mt CO2/yr,2025,-127.22311827834756
SSP2_BaU_NoCC,BRA,Emi_CO2_AFO,Mt CO2/yr,2030,582.1290091785062
SSP2_BaU_NoCC,BRA,Emi_CO2_AFO,Mt CO2/yr,2040,248.5916865217385
SSP2_BaU_NoCC,BRA,Emi_CO2_AFO,Mt CO2/yr,2050,-214.19728788066067
SSP2_BaU_NoCC,BRA,Emi_CO2_AFO,Mt CO2/yr,2060,-366.6212104275774
SSP2_BaU_NoCC,BRA,Emi_CO2_AFO,Mt CO2/yr,2070,-536.5277725417957
SSP2_BaU_NoCC,BRA,Emi_CO2_AFO,Mt CO2/yr,2080,-811.6921472948936
SSP2_BaU_NoCC,BRA,Emi_CO2_AFO,Mt CO2/yr,2090,-1149.4061385652753
SSP2_BaU_NoCC,BRA,Emi_CO2_AFO,Mt CO2/yr,2100,-1473.9822992243508
SSP2_BaU_NoCC,CAN,Emi_CO2_AFO,Mt CO2/yr,2005,-38.51557049021816
SSP2_BaU_NoCC,CAN,Emi_CO2_AFO,Mt CO2/yr,2010,130.6554183598957
SSP2_BaU_NoCC,CAN,Emi_CO2_AFO,Mt CO2/yr,2015,46.5693719448586
SSP2_BaU_NoCC,CAN,Emi_CO2_AFO,Mt CO2/yr,2020,51.095242751825815
SSP2_BaU_NoCC,CAN,Emi_CO2_AFO,Mt CO2/yr,2025,-14.333052070945655
SSP2_BaU_NoCC,CAN,Emi_CO2_AFO,Mt CO2/yr,2030,58.069667923451306
SSP2_BaU_NoCC,CAN,Emi_CO2_AFO,Mt CO2/yr,2040,-20.963778909392914
SSP2_BaU_NoCC,CAN,Emi_CO2_AFO,Mt CO2/yr,2050,-6.576912151822135
SSP2_BaU_NoCC,CAN,Emi_CO2_AFO,Mt CO2/yr,2060,-1.3244547191755132
SSP2_BaU_NoCC,CAN,Emi_CO2_AFO,Mt CO2/yr,2070,-14.710607471462605
SSP2_BaU_NoCC,CAN,Emi_CO2_AFO,Mt CO2/yr,2080,-23.558887035903712
SSP2_BaU_NoCC,CAN,Emi_CO2_AFO,Mt CO2/yr,2090,-25.804001242512946
