region,year,crop,value
BRA,2030,FRS,412549.93721635675
BRA,2030,GL,84830.41616983307
BRA,2030,CL,77223.66274054146
BRA,2030,CROP_FLW,9914.114179197904
BRA,2030,PAS,247510.36329018578
BRA,2030,SL,2309.1116880954523
BRA,2030,OL,33733.173951602424
BRA,2030,PRMFRS,395755.1291601586
BRA,2030,SECFRS,16794.808056197857
BRA,2030,MNGFRS,117053.93643211301
BRA,2030,UMNFRS,295496.0007842429
BRA,2030,NRMFRS,412549.9428459321
BRA,2030,AGOFRS,37216.93533708603
BRA,2030,PRMGL,84483.27813132622
BRA,2030,SECGL,347.1380385068275
BRA,2030,MNGPAS,118631.6364961397
BRA,2030,RAN,128878.72679404602
BRA,2030,PDRIR,1050.7834541283103
BRA,2030,WHTIR,4.147263688929039
BRA,2030,GROIR,155.0490494942095
BRA,2030,OSDIR,207.70923977147353
BRA,2030,C_BIR,551.7960666385811
BRA,2030,OTH_AIR,319.4642654305435
BRA,2030,PDRRF,1434.6358773984443
BRA,2030,WHTRF,2291.1608450984063
BRA,2030,GRORF,18469.962519851004
BRA,2030,OSDRF,34923.1088879246
BRA,2030,C_BRF,10186.846732711318
BRA,2030,OTH_ARF,7629.000435935313
BRA,2030,CLDEGS,2635.646152585796
BRA,2030,NRFABD,34.47973956786584
BRA,2030,NRGABD,10.93348013040924
BRA,2030,DEF,17471.17532503266
BRA,2030,DEG,9400.191772892242
BRA,2030,NRFABDCUM,517.4045350021979
BRA,2030,NRGABDCUM,228.761102674964
BRA,2040,FRS,392493.1529194265
BRA,2040,GL,71815.20281546102
BRA,2040,CL,79829.12484739513
BRA,2040,CROP_FLW,9346.529116629961
BRA,2040,PAS,278324.87797932175
BRA,2040,SL,2528.7190135555734
BRA,2040,OL,33733.17273250489
BRA,2040,PRMFRS,378032.55032795115
BRA,2040,SECFRS,14460.602591475053
BRA,2040,MNGFRS,98026.47370069346
BRA,2040,UMNFRS,294466.67921873287
BRA,2040,NRMFRS,392493.1666153101
BRA,2040,AGOFRS,37109.99857200788
BRA,2040,PRMGL,71561.8335140917
BRA,2040,SECGL,253.36930136920134
BRA,2040,MNGPAS,149567.1525143049
BRA,2040,RAN,128757.7254650166
