G,Rall,Value
10351,GRL_AOIS,1.0
10352,XLM,1.0
10352,GRL,1.0
10352,GRL_AOIS,1.0
10353,XLM,1.0
10353,GRL,1.0
10353,GRL_AOIS,1.0
10354,XLM,1.0
10354,GRL,1.0
10354,GRL_AOIS,1.0
10355,XLM,1.0
10355,GRL,1.0
10355,GRL_AOIS,1.0
10356,XLM,1.0
10356,GRL,1.0
10356,GRL_AOIS,1.0
10357,XLM,1.0
10357,GRL,1.0
10357,GRL_AOIS,1.0
10358,XLM,1.0
10358,GRL,1.0
10358,GRL_AOIS,1.0
10359,XLM,1.0
10359,GRL,1.0
10359,GRL_AOIS,1.0
10360,XLM,1.0
10360,GRL,1.0
10360,GRL_AOIS,1.0
10361,XLM,1.0
10361,GRL,1.0
10361,GRL_AOIS,1.0
10362,XLM,1.0
10362,GRL,1.0
10362,GRL_AOIS,1.0
10363,XLM,1.0
10363,GRL,1.0
10363,GRL_AOIS,1.0
10364,XLM,1.0
10364,GRL,1.0
10364,GRL_AOIS,1.0
10365,XLM,1.0
10365,GRL,1.0
10365,GRL_AOIS,1.0
10366,XLM,1.0
10366,GRL,1.0
10366,GRL_AOIS,1.0
10367,XLM,1.0
10367,GRL,1.0
10367,GRL_AOIS,1.0
10368,XLM,1.0
10368,GRL,1.0
10368,GRL_AOIS,1.0
10369,XLM,1.0
10369,GRL,1.0
10369,GRL_AOIS,1.0
10370,XLM,1.0
10370,GRL,1.0
10370,GRL_AOIS,1.0
10371,XLM,1.0
10371,GRL,1.0
10371,GRL_AOIS,1.0
10372,XLM,1.0
10372,GRL,1.0
10372,GRL_AOIS,1.0
10373,XLM,1.0
10373,GRL,1.0
10373,GRL_AOIS,1.0
10374,XLM,1.0
10374,GRL,1.0
10374,GRL_AOIS,1.0
10375,XLM,1.0
10375,GRL,1.0
10375,GRL_AOIS,1.0
10376,XLM,1.0
10376,GRL,1.0
10376,GRL_AOIS,1.0
10377,XLM,1.0
10377,GRL,1.0
10377,GRL_AOIS,1.0
10378,XLM,1.0
10378,GRL,1.0
10378,GRL_AOIS,1.0
10379,XLM,1.0
10379,GRL,1.0
10379,GRL_AOIS,1.0
10380,XLM,1.0
10380,GRL,1.0
10380,GRL_AOIS,1.0
10381,XLM,1.0
10381,GRL,1.0
10381,GRL_AOIS,1.0
10382,XLM,1.0
10382,GRL,1.0
10382,GRL_AOIS,1.0
10383,XLM,1.0
10383,GRL,1.0
10383,GRL_AOIS,1.0
10384,XLM,1.0
10384,GRL,1.0
10384,GRL_AOIS,1.0
10385,XLM,1.0
10385,GRL,1.0
10385,GRL_AOIS,1.0
10386,XLM,1.0
10386,GRL,1.0
10386,GRL_AOIS,1.0
10387,XLM,1.0
10387,GRL,1.0
10387,GRL_AOIS,1.0
10388,XLM,1.0
10388,GRL,1.0
10388,GRL_AOIS,1.0
10389,XLM,1.0
10389,GRL,1.0
10389,GRL_AOIS,1.0
10390,XLM,1.0
10390,GRL,1.0
10390,GRL_AOIS,1.0
10391,XLM,1.0
10391,GRL,1.0
10391,GRL_AOIS,1.0
10392,XLM,1.0
10392,GRL,1.0
10392,GRL_AOIS,1.0
10393,XLM,1.0
10393,GRL,1.0
10393,GRL_AOIS,1.0
10394,XLM,1.0
10394,GRL,1.0
10394,GRL_AOIS,1.0
10395,XLM,1.0
10395,GRL,1.0
10395,GRL_AOIS,1.0
10396,XLM,1.0
10396,GRL,1.0
10396,GRL_AOIS,1.0
10397,XLM,1.0
10397,GRL,1.0
10397,GRL_AOIS,1.0
10398,XLM,1.0
10398,GRL,1.0
10398,GRL_AOIS,1.0
10983,CAN,1.0
10983,CAN_NWTT,1.0
10984,CAN,1.0
10984,CAN_NWTT,1.0
10985,CAN,1.0
10985,CAN_NWTT,1.0
10986,CAN,1.0
10986,CAN_NWTT,1.0
10987,CAN,1.0
10987,CAN_NWTT,1.0
10988,CAN,1.0
10988,CAN_NWTT,1.0
10989,CAN,1.0
10989,CAN_NWTT,1.0
10990,CAN,1.0
10990,CAN_NWTT,1.0
10991,CAN,1.0
10991,CAN_NWTT,1.0
10992,CAN,1.0
10992,CAN_NWTT,1.0
10993,CAN,1.0
10993,CAN_NWTT,1.0
10994,CAN,1.0
10994,CAN_NWTT,1.0
10995,CAN,1.0
10995,CAN_NWTT,1.0
10996,CAN,1.0
10996,CAN_NWTT,1.0
10997,CAN,1.0
10997,CAN_NWTT,1.0
10998,CAN,1.0
10998,CAN_NWTT,1.0
10999,CAN,1.0
10999,CAN_NWTT,1.0
11000,CAN,1.0
11000,CAN_NWTT,1.0
11001,CAN,1.0
11001,CAN_NWTT,1.0
11002,CAN,1.0
11002,CAN_NWTT,1.0
11003,CAN,1.0
11003,CAN_NWTT,1.0
11004,CAN,1.0
11004,CAN_NWTT,1.0
11005,CAN,1.0
11005,CAN_NWTT,1.0
11006,CAN,1.0
11006,CAN_NWTT,1.0
11007,CAN,1.0
11007,CAN_NWTT,1.0
11008,CAN,1.0
11008,CAN_NWTT,1.0
11009,CAN,1.0
11009,CAN_NWTT,1.0
11010,CAN,1.0
11010,CAN_NWTT,1.0
11011,CAN,1.0
11011,CAN_NWTT,1.0
11012,CAN,1.0
11012,CAN_NWTT,1.0
11013,CAN,1.0
11013,CAN_NWTT,1.0
11014,CAN,1.0
11014,CAN_NWTT,1.0
11015,CAN,1.0
11015,CAN_NWTT,1.0
11016,CAN,1.0
11016,CAN_NWTT,1.0
11017,CAN,1.0
11017,CAN_NWTT,1.0
11018,CAN,1.0
11018,CAN_NWTT,1.0
11019,CAN,1.0
11019,CAN_NWTT,1.0
11020,CAN,1.0
11020,CAN_NWTT,1.0
11021,CAN,1.0
11021,CAN_NWTT,1.0
11022,CAN,1.0
11022,CAN_NWTT,1.0
11023,CAN,1.0
11023,CAN_NWTT,1.0
11024,CAN,1.0
11024,CAN_NWTT,1.0
11025,CAN,1.0
11025,CAN_NWTT,1.0
11026,CAN,1.0
11026,CAN_NWTT,1.0
11027,CAN,1.0
11027,CAN_NWTT,1.0
11028,CAN,1.0
11028,CAN_NWTT,1.0
11029,CAN,1.0
11029,CAN_NWTT,1.0
11030,CAN,1.0
11030,CAN_NWTT,1.0
11031,CAN,1.0
11031,CAN_NWTT,1.0
11032,CAN,1.0
11032,CAN_NWTT,1.0
11033,CAN,1.0
11033,CAN_NWTT,1.0
11034,CAN,1.0
11034,CAN_NWTT,1.0
11035,CAN,1.0
11035,CAN_NWTT,1.0
11036,CAN,1.0
11036,CAN_NWTT,1.0
11037,CAN,1.0
11037,CAN_NWTT,1.0
11038,CAN,1.0
11038,CAN_NWTT,1.0
11042,XLM,1.0
11042,GRL,1.0
11042,GRL_AOIS,1.0
11043,XLM,1.0
11043,GRL,1.0
11043,GRL_AOIS,1.0
11044,XLM,1.0
11044,GRL,1.0
11044,GRL_AOIS,1.0
11045,XLM,1.0
11045,GRL,1.0
11045,GRL_AOIS,1.0
11046,XLM,1.0
11046,GRL,1.0
11046,GRL_AOIS,1.0
11047,XLM,1.0
11047,GRL,1.0
11047,GRL_AOIS,1.0
11048,XLM,1.0
11048,GRL,1.0
11048,GRL_AOIS,1.0
11049,XLM,1.0
11049,GRL,1.0
11049,GRL_AOIS,1.0
11050,XLM,1.0
11050,GRL,1.0
11050,GRL_AOIS,1.0
11051,XLM,1.0
11051,GRL,1.0
11051,GRL_AOIS,1.0
11052,XLM,1.0
11052,GRL,1.0
11052,GRL_AOIS,1.0
11053,XLM,1.0
11053,GRL,1.0
11053,GRL_AOIS,1.0
11054,XLM,1.0
11054,GRL,1.0
11054,GRL_AOIS,1.0
11055,XLM,1.0
11055,GRL,1.0
11055,GRL_AOIS,1.0
11056,XLM,1.0
11056,GRL,1.0
11056,GRL_AOIS,1.0
11057,XLM,1.0
11057,GRL,1.0
11057,GRL_AOIS,1.0
11058,XLM,1.0
11058,GRL,1.0
11058,GRL_AOIS,1.0
11059,XLM,1.0
11059,GRL,1.0
11059,GRL_AOIS,1.0
11060,XLM,1.0
11060,GRL,1.0
11060,GRL_AOIS,1.0
11061,XLM,1.0
11061,GRL,1.0
11061,GRL_AOIS,1.0
11062,XLM,1.0
11062,GRL,1.0
11062,GRL_AOIS,1.0
11063,XLM,1.0
11063,GRL,1.0
11063,GRL_AOIS,1.0
11064,XLM,1.0
11064,GRL,1.0
11064,GRL_AOIS,1.0
11065,XLM,1.0
11065,GRL,1.0
11065,GRL_AOIS,1.0
11066,XLM,1.0
11066,GRL,1.0
11066,GRL_AOIS,1.0
11067,XLM,1.0
11067,GRL,1.0
11067,GRL_AOIS,1.0
11068,XLM,1.0
11068,GRL,1.0
11068,GRL_AOIS,1.0
11069,XLM,1.0
11069,GRL,1.0
11069,GRL_AOIS,1.0
11070,XLM,1.0
11070,GRL,1.0
11070,GRL_AOIS,1.0
11071,XLM,1.0
11071,GRL,1.0
11071,GRL_AOIS,1.0
11072,XLM,1.0
11072,GRL,1.0
11072,GRL_AOIS,1.0
11073,XLM,1.0
11073,GRL,1.0
11073,GRL_AOIS,1.0
11074,XLM,1.0
11074,GRL,1.0
11074,GRL_AOIS,1.0
11075,XLM,1.0
11075,GRL,1.0
11075,GRL_AOIS,1.0
11076,XLM,1.0
11076,GRL,1.0
11076,GRL_AOIS,1.0
11077,XLM,1.0
11077,GRL,1.0
11077,GRL_AOIS,1.0
11078,XLM,1.0
11078,GRL,1.0
11078,GRL_AOIS,1.0
11079,XLM,1.0
11079,GRL,1.0
11079,GRL_AOIS,1.0
11080,XLM,1.0
11080,GRL,1.0
11080,GRL_AOIS,1.0
11081,XLM,1.0
11081,GRL,1.0
11081,GRL_AOIS,1.0
11082,XLM,1.0
11082,GRL,1.0
11082,GRL_AOIS,1.0
11083,XLM,1.0
11083,GRL,1.0
11083,GRL_AOIS,1.0
11084,XLM,1.0
11084,GRL,1.0
11084,GRL_AOIS,1.0
11085,XLM,1.0
11085,GRL,1.0
11085,GRL_AOIS,1.0
11086,XLM,1.0
11086,GRL,1.0
11086,GRL_AOIS,1.0
11087,XLM,1.0
11087,GRL,1.0
11087,GRL_AOIS,1.0
11088,XLM,1.0
11088,GRL,1.0
11088,GRL_AOIS,1.0
11089,XLM,1.0
11089,GRL,1.0
11089,GRL_AOIS,1.0
11090,XLM,1.0
11090,GRL,1.0
11090,GRL_AOIS,1.0
11091,XLM,1.0
11091,GRL,1.0
11091,GRL_AOIS,1.0
11092,XLM,1.0
11092,GRL,1.0
11092,GRL_AOIS,1.0
11093,XLM,1.0
11093,GRL,1.0
11093,GRL_AOIS,1.0
11094,XLM,1.0
11094,GRL,1.0
11094,GRL_AOIS,1.0
11095,XLM,1.0
11095,GRL,1.0
11095,GRL_AOIS,1.0
11096,XLM,1.0
11096,GRL,1.0
11096,GRL_AOIS,1.0
11097,XLM,1.0
11097,GRL,1.0
11097,GRL_AOIS,1.0
11098,XLM,1.0
11098,GRL,1.0
11098,GRL_AOIS,1.0
11099,XLM,1.0
11099,GRL,1.0
11099,GRL_AOIS,1.0
11100,XLM,1.0
11100,GRL,1.0
11100,GRL_AOIS,1.0
11101,XLM,1.0
11101,GRL,1.0
11101,GRL_AOIS,1.0
11102,XLM,1.0
11102,GRL,1.0
11102,GRL_AOIS,1.0
11103,XLM,1.0
11103,GRL,1.0
11103,GRL_AOIS,1.0
11104,XLM,1.0
11104,GRL,1.0
11104,GRL_AOIS,1.0
11105,XLM,1.0
11105,GRL,1.0
11105,GRL_AOIS,1.0
11106,XLM,1.0
11106,GRL,1.0
11106,GRL_AOIS,1.0
11107,XLM,1.0
11107,GRL,1.0
11107,GRL_AOIS,1.0
11108,XLM,1.0
11108,GRL,1.0
11108,GRL_AOIS,1.0
11109,XLM,1.0
11109,GRL,1.0
11109,GRL_AOIS,1.0
11110,XLM,1.0
11110,GRL,1.0
11110,GRL_AOIS,1.0
11111,XLM,1.0
11111,GRL,1.0
11111,GRL_AOIS,1.0
11112,XLM,1.0
11112,GRL,1.0
11112,GRL_AOIS,1.0
11113,XLM,1.0
11113,GRL,1.0
11113,GRL_AOIS,1.0
11114,XLM,1.0
11114,GRL,1.0
11114,GRL_AOIS,1.0
11115,XLM,1.0
11115,GRL,1.0
11115,GRL_AOIS,1.0
11116,XLM,1.0
11116,GRL,1.0
11116,GRL_AOIS,1.0
11117,XLM,1.0
11117,GRL,1.0
11117,GRL_AOIS,1.0
11118,XLM,1.0
11118,GRL,1.0
11118,GRL_AOIS,1.0
11121,XLM,1.0
11121,GRL,1.0
11121,GRL_AOIS,1.0
11122,XLM,1.0
11122,GRL,1.0
11122,GRL_AOIS,1.0
11697,CAN,1.0
11697,CAN_NWTT,1.0
11698,CAN,1.0
11698,CAN_NWTT,1.0
11699,CAN,1.0
11699,CAN_NWTT,1.0
11700,CAN,1.0
11700,CAN_NWTT,1.0
11701,CAN,1.0
11701,CAN_NWTT,1.0
11702,CAN,1.0
11702,CAN_NWTT,1.0
11703,CAN,1.0
11703,CAN_NWTT,1.0
11704,CAN,1.0
11704,CAN_NWTT,1.0
11705,CAN,1.0
11705,CAN_NWTT,1.0
11706,CAN,1.0
11706,CAN_NWTT,1.0
11707,CAN,1.0
11707,CAN_NWTT,1.0
11708,CAN,1.0
11708,CAN_NWTT,1.0
11709,CAN,1.0
11709,CAN_NWTT,1.0
11710,CAN,1.0
11710,CAN_NWTT,1.0
11711,CAN,1.0
11711,CAN_NWTT,1.0
11712,CAN,1.0
11712,CAN_NWTT,1.0
11713,CAN,1.0
11713,CAN_NWTT,1.0
11714,CAN,1.0
11714,CAN_NWTT,1.0
11715,CAN,1.0
11715,CAN_NWTT,1.0
11716,CAN,1.0
11716,CAN_NWTT,1.0
11717,CAN,1.0
11717,CAN_NWTT,1.0
11718,CAN,1.0
11718,CAN_NWTT,1.0
11719,CAN,1.0
11719,CAN_NWTT,1.0
11720,CAN,1.0
11720,CAN_NWTT,1.0
11721,CAN,1.0
11721,CAN_NWTT,1.0
11722,CAN,1.0
11722,CAN_NWTT,1.0
11723,CAN,1.0
11723,CAN_NWTT,1.0
11724,CAN,1.0
11724,CAN_NWTT,1.0
11725,CAN,1.0
11725,CAN_NWTT,1.0
11726,CAN,1.0
11726,CAN_NWTT,1.0
11727,CAN,1.0
11727,CAN_NWTT,1.0
11728,CAN,1.0
11728,CAN_NWTT,1.0
11729,CAN,1.0
11729,CAN_NWTT,1.0
11730,CAN,1.0
11730,CAN_NWTT,1.0
11731,CAN,1.0
11731,CAN_NWTT,1.0
11732,CAN,1.0
11732,CAN_NWTT,1.0
11733,CAN,1.0
11733,CAN_NWTT,1.0
11734,CAN,1.0
11734,CAN_NWTT,1.0
11735,CAN,1.0
11735,CAN_NWTT,1.0
11736,CAN,1.0
11736,CAN_NWTT,1.0
11737,CAN,1.0
11737,CAN_NWTT,1.0
11738,CAN,1.0
11738,CAN_NWTT,1.0
11739,CAN,1.0
11739,CAN_NWTT,1.0
11740,CAN,1.0
11740,CAN_NWTT,1.0
11741,CAN,1.0
11741,CAN_NWTT,1.0
11742,CAN,1.0
11742,CAN_NWTT,1.0
11743,CAN,1.0
11743,CAN_NWTT,1.0
11744,CAN,1.0
11744,CAN_NWTT,1.0
11745,CAN,1.0
11745,CAN_NWTT,1.0
11746,CAN,1.0
11746,CAN_NWTT,1.0
11747,CAN,1.0
11747,CAN_NWTT,1.0
11748,CAN,1.0
11748,CAN_NWTT,1.0
11749,CAN,1.0
11749,CAN_NWTT,1.0
11750,CAN,1.0
11750,CAN_NWTT,1.0
11751,CAN,1.0
11751,CAN_NWTT,1.0
11752,CAN,1.0
11752,CAN_NWTT,1.0
11753,CAN,1.0
11753,CAN_NWTT,1.0
11754,CAN,1.0
11754,CAN_NWTT,1.0
11755,CAN,1.0
11755,CAN_NWTT,1.0
11758,XLM,1.0
11758,GRL,1.0
11758,GRL_AOIS,1.0
11759,XLM,1.0
11759,GRL,1.0
11759,GRL_AOIS,1.0
11760,XLM,1.0
11760,GRL,1.0
11760,GRL_AOIS,1.0
11761,XLM,1.0
11761,GRL,1.0
11761,GRL_AOIS,1.0
11762,XLM,1.0
11762,GRL,1.0
11762,GRL_AOIS,1.0
11763,XLM,1.0
11763,GRL,1.0
11763,GRL_AOIS,1.0
11764,XLM,1.0
11764,GRL,1.0
11764,GRL_AOIS,1.0
11765,XLM,1.0
11765,GRL,1.0
11765,GRL_AOIS,1.0
11766,XLM,1.0
11766,GRL,1.0
11766,GRL_AOIS,1.0
11767,XLM,1.0
11767,GRL,1.0
11767,GRL_AOIS,1.0
11768,XLM,1.0
11768,GRL,1.0
11768,GRL_AOIS,1.0
11769,XLM,1.0
11769,GRL,1.0
11769,GRL_AOIS,1.0
11770,XLM,1.0
11770,GRL,1.0
11770,GRL_AOIS,1.0
11771,XLM,1.0
11771,GRL,1.0
11771,GRL_AOIS,1.0
11772,XLM,1.0
11772,GRL,1.0
11772,GRL_AOIS,1.0
11773,XLM,1.0
11773,GRL,1.0
11773,GRL_AOIS,1.0
11774,XLM,1.0
11774,GRL,1.0
11774,GRL_AOIS,1.0
11775,XLM,1.0
11775,GRL,1.0
11775,GRL_AOIS,1.0
11776,XLM,1.0
11776,GRL,1.0
11776,GRL_AOIS,1.0
11777,XLM,1.0
11777,GRL,1.0
11777,GRL_AOIS,1.0
11778,XLM,1.0
11778,GRL,1.0
11778,GRL_AOIS,1.0
11779,XLM,1.0
11779,GRL,1.0
11779,GRL_AOIS,1.0
11780,XLM,1.0
11780,GRL,1.0
11780,GRL_AOIS,1.0
11781,XLM,1.0
11781,GRL,1.0
11781,GRL_AOIS,1.0
11782,XLM,1.0
11782,GRL,1.0
11782,GRL_AOIS,1.0
11783,XLM,1.0
11783,GRL,1.0
11783,GRL_AOIS,1.0
11784,XLM,1.0
11784,GRL,1.0
11784,GRL_AOIS,1.0
11785,XLM,1.0
11785,GRL,1.0
11785,GRL_AOIS,1.0
11786,XLM,1.0
11786,GRL,1.0
11786,GRL_AOIS,1.0
11787,XLM,1.0
11787,GRL,1.0
11787,GRL_AOIS,1.0
11788,XLM,1.0
11788,GRL,1.0
11788,GRL_AOIS,1.0
11789,XLM,1.0
11789,GRL,1.0
11789,GRL_AOIS,1.0
11790,XLM,1.0
11790,GRL,1.0
11790,GRL_AOIS,1.0
11791,XLM,1.0
11791,GRL,1.0
11791,GRL_AOIS,1.0
11792,XLM,1.0
11792,GRL,1.0
11792,GRL_AOIS,1.0
11793,XLM,1.0
11793,GRL,1.0
11793,GRL_AOIS,1.0
11794,XLM,1.0
11794,GRL,1.0
11794,GRL_AOIS,1.0
11795,XLM,1.0
11795,GRL,1.0
11795,GRL_AOIS,1.0
11796,XLM,1.0
11796,GRL,1.0
11796,GRL_AOIS,1.0
11797,XLM,1.0
11797,GRL,1.0
11797,GRL_AOIS,1.0
11798,XLM,1.0
11798,GRL,1.0
11798,GRL_AOIS,1.0
11799,XLM,1.0
11799,GRL,1.0
11799,GRL_AOIS,1.0
11800,XLM,1.0
11800,GRL,1.0
11800,GRL_AOIS,1.0
11801,XLM,1.0
11801,GRL,1.0
11801,GRL_AOIS,1.0
11802,XLM,1.0
11802,GRL,1.0
11802,GRL_AOIS,1.0
