region,mode,year,kappa
XSA,basin,2070,0.554
XSA,basin,2080,0.554
XSA,basin,2090,0.554
XSA,basin,2100,0.554
XSE,region,2010,1.000
XSE,region,2020,0.389
XSE,region,2030,0.389
XSE,region,2040,0.389
XSE,region,2050,0.389
XSE,region,2060,0.389
XSE,region,2070,0.738
XSE,region,2080,0.711
XSE,region,2090,0.711
XSE,region,2100,0.711
XSE,basin,2010,1.000
XSE,basin,2020,0.883
XSE,basin,2030,0.590
XSE,basin,2040,0.500
XSE,basin,2050,0.432
XSE,basin,2060,0.403
XSE,basin,2070,0.296
XSE,basin,2080,0.279
XSE,basin,2090,0.279
XSE,basin,2100,0.279
GLOBAL,region,2010,0.988
GLOBAL,region,2020,0.939
GLOBAL,region,2030,0.935
GLOBAL,region,2040,0.928
GLOBAL,region,2050,0.923
GLOBAL,region,2060,0.921
GLOBAL,region,2070,0.921
GLOBAL,region,2080,0.920
GLOBAL,region,2090,0.920
GLOBAL,region,2100,0.921
GLOBAL,basin,2010,0.980
GLOBAL,basin,2020,0.950
GLOBAL,basin,2030,0.943
GLOBAL,basin,2040,0.936
GLOBAL,basin,2050,0.934
GLOBAL,basin,2060,0.934
GLOBAL,basin,2070,0.932
GLOBAL,basin,2080,0.930
GLOBAL,basin,2090,0.933
GLOBAL,basin,2100,0.935
