basin,year,type,Value
AFG_AMDA,2060,OL,169.25475479488844
AFG_AMDA,2060,PRMFRS,339.41441297476194
AFG_AMDA,2060,SECFRS,226.14650279990124
AFG_AMDA,2060,MNGFRS,176.21496060901114
AFG_AMDA,2060,UMNFRS,389.3459551656521
AFG_AMDA,2060,NRMFRS,565.5610110897704
AFG_AMDA,2060,AGOFRS,88.4133752333312
AFG_AMDA,2060,PRMGL,3230.6436043877766
AFG_AMDA,2060,SECGL,1078.119280970618
AFG_AMDA,2060,MNGPAS,2988.9254424039264
AFG_AMDA,2060,RAN,3111.3806316404102
AFG_AMDA,2060,PDRIR,40.48238839770569
AFG_AMDA,2060,WHTIR,342.68208890301275
AFG_AMDA,2060,GROIR,140.06220451643372
AFG_AMDA,2060,OSDIR,16.911612442025238
AFG_AMDA,2060,OTH_AIR,42.35393348181433
AFG_AMDA,2060,PDRRF,25.89906950760803
AFG_AMDA,2060,WHTRF,936.4649150524479
AFG_AMDA,2060,GRORF,79.50805428070969
AFG_AMDA,2060,OSDRF,3.4421712967317375
AFG_AMDA,2060,OTH_ARF,197.95374033689157
AFG_AMDA,2060,CLDEGS,1089.4115144486348
AFG_AMDA,2060,NRFABD,99.3756204087674
AFG_AMDA,2060,NRGABD,264.26201474384527
AFG_AMDA,2060,DEG,150.41276858893693
AFG_AMDA,2060,NRGABDCUM,357.69507622948015
AFG_AMDA,2070,FRS,709.145394944522
AFG_AMDA,2070,GL,4267.275854836304
AFG_AMDA,2070,CL,2381.8923037355225
AFG_AMDA,2070,CROP_FLW,1901.1283090311035
AFG_AMDA,2070,PAS,5039.989957375015
AFG_AMDA,2070,SL,33.092829602241835
AFG_AMDA,2070,OL,169.25465180422242
AFG_AMDA,2070,PRMFRS,323.72134862087427
AFG_AMDA,2070,SECFRS,385.4240463236479
AFG_AMDA,2070,MNGFRS,334.2010871062308
AFG_AMDA,2070,UMNFRS,374.94430783829125
AFG_AMDA,2070,NRMFRS,709.1454840169359
AFG_AMDA,2070,AGOFRS,88.4133752333312
AFG_AMDA,2070,PRMGL,3026.413871600709
AFG_AMDA,2070,SECGL,1240.861983235593
AFG_AMDA,2070,MNGPAS,2765.829717336277
AFG_AMDA,2070,RAN,2274.160240038739
AFG_AMDA,2070,PDRIR,40.44017655776579
AFG_AMDA,2070,WHTIR,342.2812721370328
AFG_AMDA,2070,GROIR,139.87450095548758
AFG_AMDA,2070,OSDIR,16.836289050140426
AFG_AMDA,2070,OTH_AIR,42.17928198095847
AFG_AMDA,2070,PDRRF,42.79381541265506
AFG_AMDA,2070,WHTRF,1346.0831054214486
AFG_AMDA,2070,GRORF,132.2327299442624
AFG_AMDA,2070,OSDRF,4.8545714031953215
AFG_AMDA,2070,OTH_ARF,274.3165544361913
AFG_AMDA,2070,CLDEGS,1180.582151501882
AFG_AMDA,2070,NRFABD,167.16800619325687
AFG_AMDA,2070,NRGABD,386.1288929242804
AFG_AMDA,2070,DEF,23.583437950984003
AFG_AMDA,2070,DEG,427.61659813490917
