scenario,basin,type,year,value
SSP2_500C_NoCC,AFG_AMDA,OTH_A,2025,182.63422833617432
SSP2_500C_NoCC,AFG_AMDA,OTH_A,2030,223.14958806891596
SSP2_500C_NoCC,AFG_AMDA,OTH_A,2035,259.861830699403
SSP2_500C_NoCC,AFG_AMDA,OTH_A,2040,293.6402571241854
SSP2_500C_NoCC,AFG_AMDA,OTH_A,2045,327.90476373127797
SSP2_500C_NoCC,AFG_AMDA,OTH_A,2050,347.11002823750107
SSP2_500C_NoCC,AFG_AMDA,OTH_A,2060,276.2963865175953
SSP2_500C_NoCC,AFG_AMDA,OTH_A,2070,291.9179223266227
SSP2_500C_NoCC,AFG_AMDA,OTH_A,2080,309.640391513656
SSP2_500C_NoCC,AFG_AMDA,OTH_A,2090,367.0143217056977
SSP2_500C_NoCC,AFG_AMDA,OTH_A,2100,432.1596989715976
SSP2_500C_NoCC,AFG_AMDA,PAS,2005,7151.400469337279
SSP2_500C_NoCC,AFG_AMDA,PAS,2010,7151.400469337279
SSP2_500C_NoCC,AFG_AMDA,PAS,2015,7150.468803354856
SSP2_500C_NoCC,AFG_AMDA,PAS,2020,7660.824238874871
SSP2_500C_NoCC,AFG_AMDA,PAS,2025,4586.106976176304
SSP2_500C_NoCC,AFG_AMDA,PAS,2030,3179.3898052643835
SSP2_500C_NoCC,AFG_AMDA,PAS,2035,2343.1923751206164
SSP2_500C_NoCC,AFG_AMDA,PAS,2040,2056.0482518253652
SSP2_500C_NoCC,AFG_AMDA,PAS,2045,2100.567015990278
SSP2_500C_NoCC,AFG_AMDA,PAS,2050,2291.7462111464865
SSP2_500C_NoCC,AFG_AMDA,PAS,2060,2758.231870590808
SSP2_500C_NoCC,AFG_AMDA,PAS,2070,4150.172158737103
SSP2_500C_NoCC,AFG_AMDA,PAS,2080,4539.461933676918
SSP2_500C_NoCC,AFG_AMDA,PAS,2090,3630.0809555223213
SSP2_500C_NoCC,AFG_AMDA,PAS,2100,2663.381550000534
SSP2_500C_NoCC,AFG_AMDA,PDR,2005,48.759381365744645
SSP2_500C_NoCC,AFG_AMDA,PDR,2010,66.1205933771475
SSP2_500C_NoCC,AFG_AMDA,PDR,2015,51.83356189331
SSP2_500C_NoCC,AFG_AMDA,PDR,2020,51.798313874275685
SSP2_500C_NoCC,AFG_AMDA,PDR,2025,59.57395831438599
SSP2_500C_NoCC,AFG_AMDA,PDR,2030,70.20693734340011
SSP2_500C_NoCC,AFG_AMDA,PDR,2035,76.10658574006234
SSP2_500C_NoCC,AFG_AMDA,PDR,2040,78.25891484569937
SSP2_500C_NoCC,AFG_AMDA,PDR,2045,83.68625935921553
SSP2_500C_NoCC,AFG_AMDA,PDR,2050,85.18586263950743
SSP2_500C_NoCC,AFG_AMDA,PDR,2060,51.84781209091439
SSP2_500C_NoCC,AFG_AMDA,PDR,2070,49.305404102457864
SSP2_500C_NoCC,AFG_AMDA,PDR,2080,48.136616012877546
SSP2_500C_NoCC,AFG_AMDA,PDR,2090,52.89593390295411
SSP2_500C_NoCC,AFG_AMDA,PDR,2100,57.999345772703904
SSP2_500C_NoCC,AFG_AMDA,SL,2005,16.892024407339665
SSP2_500C_NoCC,AFG_AMDA,SL,2010,20.156178372322394
SSP2_500C_NoCC,AFG_AMDA,SL,2015,24.73458670082334
SSP2_500C_NoCC,AFG_AMDA,SL,2020,24.73458670082334
SSP2_500C_NoCC,AFG_AMDA,SL,2025,24.73458670082334
SSP2_500C_NoCC,AFG_AMDA,SL,2030,24.73458670082334
SSP2_500C_NoCC,AFG_AMDA,SL,2035,24.73458670082334
SSP2_500C_NoCC,AFG_AMDA,SL,2040,24.73458670082334
SSP2_500C_NoCC,AFG_AMDA,SL,2045,24.73458670082334
SSP2_500C_NoCC,AFG_AMDA,SL,2050,24.73458670082334
SSP2_500C_NoCC,AFG_AMDA,SL,2060,24.73458670082334
SSP2_500C_NoCC,AFG_AMDA,SL,2070,24.73458670082334
SSP2_500C_NoCC,AFG_AMDA,SL,2080,24.73458670082334
SSP2_500C_NoCC,AFG_AMDA,SL,2090,24.73458670082334
SSP2_500C_NoCC,AFG_AMDA,SL,2100,24.73458670082334
SSP2_500C_NoCC,AFG_CSEC,wht,2005,439.51796624600024
SSP2_500C_NoCC,AFG_CSEC,wht,2010,460.8200889634295
SSP2_500C_NoCC,AFG_CSEC,wht,2015,414.2014271143178
SSP2_500C_NoCC,AFG_CSEC,wht,2020,397.2494170217926
SSP2_500C_NoCC,AFG_CSEC,wht,2025,440.98358248775185
SSP2_500C_NoCC,AFG_CSEC,wht,2030,504.59498153203185
SSP2_500C_NoCC,AFG_CSEC,wht,2035,499.78684023894647
SSP2_500C_NoCC,AFG_CSEC,wht,2040,460.95618794299395
SSP2_500C_NoCC,AFG_CSEC,wht,2045,426.93209830029195
SSP2_500C_NoCC,AFG_CSEC,wht,2050,364.70465587309684
SSP2_500C_NoCC,AFG_CSEC,wht,2060,193.12417505723417
SSP2_500C_NoCC,AFG_CSEC,wht,2070,200.20458151185656
SSP2_500C_NoCC,AFG_CSEC,wht,2080,240.3450341637638
SSP2_500C_NoCC,AFG_CSEC,wht,2090,279.67236499892846
SSP2_500C_NoCC,AFG_CSEC,wht,2100,300.22264146446025
SSP2_500C_NoCC,AFG_CSEC,frs,2005,1.0
SSP2_500C_NoCC,AFG_CSEC,frs,2010,1.0
SSP2_500C_NoCC,AFG_CSEC,frs,2015,0.9999999988176046
SSP2_500C_NoCC,AFG_CSEC,frs,2020,0.930481939612429
SSP2_500C_NoCC,AFG_CSEC,frs,2025,1.205853945311486
SSP2_500C_NoCC,AFG_CSEC,frs,2030,1.2640967645850723
SSP2_500C_NoCC,AFG_CSEC,frs,2035,1.1779750686586827
SSP2_500C_NoCC,AFG_CSEC,frs,2040,1.0366008068082577
SSP2_500C_NoCC,AFG_CSEC,frs,2045,0.8950580009263284
SSP2_500C_NoCC,AFG_CSEC,frs,2050,0.7385184821608491
SSP2_500C_NoCC,AFG_CSEC,frs,2060,0.6712245028736556
SSP2_500C_NoCC,AFG_CSEC,frs,2070,0.6789395295572709
SSP2_500C_NoCC,AFG_CSEC,frs,2080,0.6501036292572041
SSP2_500C_NoCC,AFG_CSEC,frs,2090,0.6362221392298297
SSP2_500C_NoCC,AFG_CSEC,frs,2100,0.6336946196461206
SSP2_500C_NoCC,AFG_CSEC,OSD,2005,14.772594648513179
SSP2_500C_NoCC,AFG_CSEC,OSD,2010,11.95059727733083
SSP2_500C_NoCC,AFG_CSEC,OSD,2015,8.954647164790863
SSP2_500C_NoCC,AFG_CSEC,OSD,2020,8.72408727730803
SSP2_500C_NoCC,AFG_CSEC,OSD,2025,9.281659364178708
SSP2_500C_NoCC,AFG_CSEC,OSD,2030,10.10459758456287
SSP2_500C_NoCC,AFG_CSEC,OSD,2035,10.209288071066336
SSP2_500C_NoCC,AFG_CSEC,OSD,2040,9.27510419865435
SSP2_500C_NoCC,AFG_CSEC,OSD,2045,8.48516028699874
SSP2_500C_NoCC,AFG_CSEC,OSD,2050,7.320656228995526
SSP2_500C_NoCC,AFG_CSEC,OSD,2060,4.6846553968509745
SSP2_500C_NoCC,AFG_CSEC,OSD,2070,5.175578004919232
SSP2_500C_NoCC,AFG_CSEC,OSD,2080,5.469358440205866
SSP2_500C_NoCC,AFG_CSEC,OSD,2090,5.738267864784222
SSP2_500C_NoCC,AFG_CSEC,OSD,2100,5.660812219096392
SSP2_500C_NoCC,AFG_CSEC,AFR,2025,765.508956502435
SSP2_500C_NoCC,AFG_CSEC,AFR,2030,1531.01791300487
SSP2_500C_NoCC,AFG_CSEC,AFR,2035,2559.3313372669045
SSP2_500C_NoCC,AFG_CSEC,AFR,2040,3587.6447615289394
SSP2_500C_NoCC,AFG_CSEC,AFR,2045,4487.442094292105
SSP2_500C_NoCC,AFG_CSEC,AFR,2050,5387.23942705527
