year,scope,region,mode,kurtosis
2090,regional,XSE,basin,0.465
2100,regional,BRA,basin,4.5
2100,regional,CAN,basin,35.788
2100,regional,CHN,basin,-1.84
2100,regional,CIS,basin,31.213
2100,regional,IND,basin,14.79
2100,regional,JPN,basin,
2100,regional,TUR,basin,14.768
2100,regional,USA,basin,21.2
2100,regional,XAF,basin,7.775
2100,regional,XE25,basin,21.198
2100,regional,XER,basin,12.626
2100,regional,XLM,basin,-1.965
2100,regional,XME,basin,1.339
2100,regional,XNF,basin,71.632
2100,regional,XOC,basin,
2100,regional,XSA,basin,3.197
2100,regional,XSE,basin,2.11
